copper_num,black_num,canary_num,copper_kg,black_kg,canary_kg,year,mode,orig_allocated,district
6624,0,0,7031.3842,0,0,2020,pc,original,1
8000.21,0,20.08,3342.4732,0,15.7439,2020,pc,original,2
11627.51,3089.56,4810.46,8528.2091,1641.6604,4295.3204,2020,pc,original,3
5019.94,11777.38,14371.34,4921.1244,4970.4714,10505.3171,2020,pc,original,4
2452,5603.78,6560.1,4285.036,5172.4396,6157.1644,2020,pc,original,5
704.89,7550.47,1065.09,1147.6469,10301.5627,1166.2612,2020,pc,original,6
5048.57,6.16,8.76,4195.969063,3.395308169,7.065974495,2020,pc,allocated,1
20844.36,0,42.04,19417.82493,0,37.27299626,2020,pc,allocated,2
4340.75,194.07,2764.53,5027.776824,106.9687429,2672.188378,2020,pc,allocated,3
4962.68,8824.93,12326,4503.848135,4961.423001,9633.818805,2020,pc,allocated,4
375.59,957.9,667.2,596.3950733,901.9642734,538.647276,2020,pc,allocated,5
27.75,486.07,71.22,45.61716925,605.6147144,64.44079105,2020,pc,allocated,6
3524.87,0,0,2359.2742,0,0,2021,pc,original,1
9781.4,0,113.16,8820.4299,0,60.7339,2021,pc,original,2
8507.4,3998.34,7186.25,7453.9097,2163.6304,5887.3555,2021,pc,original,3
6574.83,29812.34,30380.96,6919.0642,15468.978,19561.3354,2021,pc,original,4
4070.24,18003.73,6753.5,6792.3576,15163.3593,5797.7631,2021,pc,original,5
439.83,32804.9,1293.55,706.8622,48235.3179,1465.4632,2021,pc,original,6
1924.89,2.35,3.34,1599.815174,1.295288019,2.694104431,2021,pc,allocated,1
26841.28,0,54.14,25004.33095,0,48.0009519,2021,pc,allocated,2
1687.9,75.46,1074.99,1955.05028,41.59252506,1039.082877,2021,pc,allocated,3
1148.05,2041.53,2851.46,1041.905352,1147.759121,2228.658849,2021,pc,allocated,4
69.04,176.07,122.64,109.6278278,165.7885475,99.01034462,2021,pc,allocated,5
0,0,0,0,0,0,2021,pc,allocated,6
1707.17,0,17.76,1148.8066,0,14.2382,2020,pr,original,1
2650.42,0,199.2,2308.4663,0,185.0451,2020,pr,original,2
16011.81,4314.67,6509.46,19454.9692,1973.2975,8616.7731,2020,pr,original,3
8288.23,16347.42,14649.51,7139.1289,8489.2193,7646.4621,2020,pr,original,4
1442.76,9619.89,1541.41,2148.5004,9339.3923,1086.9199,2020,pr,original,5
3065.2,38269.77,7606.7,4807.0651,33198.176,6604.4893,2020,pr,original,6
1487.77,0,29.23,1029.53684,0,11.34124,2020,pr,allocated,1
7226.52,1.4,13.74,5773.98948,0.532,4.27314,2020,pr,allocated,2
1636.19,265.92,759.38,1603.4662,101.0496,716.09534,2020,pr,allocated,3
13792.56,6724.94,11704.15,12730.53288,3389.36976,6566.02815,2020,pr,allocated,4
33.46,117.72,24.88,49.78848,117.95544,21.04848,2020,pr,allocated,5
38.42,487.99,67.73,56.17004,531.9091,52.28756,2020,pr,allocated,6
