chilipepper_num,quillback_num,yelloweye_num,yellowtail_num,widow_num,chilipepper_kg,quillback_kg,yelloweye_kg,yellowtail_kg,widow_kg,year,mode,orig_allocated,district
324.28,0,0,41.16,151.37,70.3978,0,0,13.5057,70.3978,2020,pc,original,1
1690.57,0,0,83.95,520.23,370.1357,0,0,63.4427,370.1357,2020,pc,original,2
47.18,65.6,396.11,19086.16,1392.82,3.6768,58.113,534.5726,6364.7388,3.6768,2020,pc,original,3
0,168.67,270.6,10067.54,259.11,0,116.5851,329.039,5888.4176,0,2020,pc,original,4
0,1656.82,25.58,9845.42,212.1,0,1848.0663,29.3814,6298.0671,0,2020,pc,original,5
0,457.99,21.9,171,7.71,0,579.0547,34.8551,85.6316,0,2020,pc,original,6
1582.58,0,3.26,326.28,91.95,318.3659632,0,5.6398,90.54235936,52.94845205,2020,pc,allocated,1
2740.51,0,35.2,359.08,2733.47,1099.989612,0,60.896,214.3852356,931.2960007,2020,pc,allocated,2
23.24,45.07,132.1,9932.86,1691.21,8.527196793,37.55416511,228.533,4635.844166,822.4919602,2020,pc,allocated,3
0,1383,188.04,27928.27,9857.07,0,1002.135828,325.3092,16874.62386,5843.883417,2020,pc,allocated,4
0,157.11,15.81,687.4,64.68,0,163.3999213,27.3513,467.0282597,37.85638159,2020,pc,allocated,5
0.12,24.79,3.94,23.67,1.15,0.044030276,27.29513238,6.8162,7.056328579,1.051437517,2020,pc,allocated,6
3175.39,0,0,452.23,0,901.9738,0,0,151.3331,901.9738,2021,pc,original,1
6071.85,0,42.05,39.48,748.82,2328.1667,0,49.9618,29.832,2328.1667,2021,pc,original,2
168.3,101.42,223.14,41692.64,1662.9,67.6452,92.922,302.367,15237.0789,67.6452,2021,pc,original,3
0,2215.53,267.74,60428.2,2694.19,0,1673.66,311.2774,43877.9703,0,2021,pc,original,4
0,1827.29,243.14,13619.98,857.34,0,2003.7821,299.2009,7978.6921,0,2021,pc,original,5
0,629.14,30.34,483.44,95.33,0,820.3621,48.3982,324.2638,0,2021,pc,original,6
603.4,0,1.24,124.4,35.06,121.3853468,0,2.1452,34.52087013,20.18893669,2021,pc,allocated,1
3528.95,0,45.32,462.38,3519.88,1416.454726,0,78.4036,276.0594999,1199.226685,2021,pc,allocated,2
9.04,17.53,51.37,3862.39,657.63,3.316947462,14.6067121,88.8701,1802.646785,319.8274536,2021,pc,allocated,3
0,319.94,43.5,6460.83,2280.3,0,231.8317692,75.255,3903.71749,1351.903492,2021,pc,allocated,4
0,28.88,2.91,126.35,11.89,0,30.03621493,5.0343,85.84378909,6.959065819,2021,pc,allocated,5
0,0,0,0,0,0,0,0,0,0,2021,pc,allocated,6
319.22,0,0,10.13,179.39,84.4103,0,0,3.4188,84.4103,2020,pr,original,1
114.63,0,2.28,2.4,32.01,29.549,0,2.759,0.4429,29.549,2020,pr,original,2
51.29,42.79,392.11,8647.12,263.19,15.9376,42.6285,522.186,7252.8544,15.9376,2020,pr,original,3
0,1205.31,205.37,2170.77,91.47,0,824.5347,248.8388,1278.4758,0,2020,pr,original,4
10.04,547.53,31.46,1049.81,6.54,0,600.8315,48.8916,1028.2853,0,2020,pr,original,5
5.11,2500.39,122.84,440.01,36.02,1.468,3734.0965,194.995,382.6513,1.468,2020,pr,original,6
181.22,0,8.23,34.87,26.24,40.29882323,0,7.264698996,4.979933176,9.444120689,2020,pr,allocated,1
69.85,0,1.19,32.71,91.07,18.36277507,0,1.050424278,20.47457718,21.42453761,2020,pr,allocated,2
4.28,17.87,27.27,909.27,45.77,1.135906136,14.71841687,20.20433444,650.4709821,35.63734678,2020,pr,allocated,3
2.7,1295.16,442.94,6251.12,891.81,0.716576301,878.8934649,300.7831535,3842.027643,573.1057046,2020,pr,allocated,4
0.31,7.81,2.75,11.47,0.26,0.062873575,7.586039315,2.93143584,9.605472368,0.152930842,2020,pr,allocated,5
0.03,31.15,9.72,11.27,1.3,0.00608454,43.28735671,6.165712493,9.411092356,1.10433023,2020,pr,allocated,6
